col_A,col_B,col_C
zur Inhaltsübersicht,,
"Deutschlandatlas_GEM1224_b: Indikatoren auf Gemeindeebene, Gebietsstand zum 31.12.2024 ",,
GKZ1224,Gemeindename,"Indikatorkürzel: bev_dicht

Einwohner/-innen je km² im Jahr 2024"
1054009,Aventoft,28.27
1054010,Bargum,38.11
1054011,Behrendorf,37.54
1054012,Bohmstedt,61.42
1054013,Bondelum,19.83
1054014,Bordelum,58.77
1054015,Borgsum,57.17
1054016,Bosbüll,43.76
1054017,Braderup,50.49
1054018,Bramstedtlund,15.45
1054019,"Bredstedt, Stadt",593.85
1054020,Breklum,234.06
1054022,Dagebüll,24.76
1054023,Drage,41.21
1054024,Drelsdorf,72.82
1054025,Dunsum,28.68
1054026,Elisabeth-Sophien-Koog,10.81
1054027,Ellhöft,12.66
1054032,Fresendelf,33.46
1054033,"Friedrichstadt, Stadt",637.56
1054034,Friedrich-Wilhelm-Lübke-Koog,12.08
1054035,"Garding, Kirchspiel",20.48
1054036,"Garding, Stadt",920.26
1054037,Goldebek,37.43
1054038,Goldelund,35.19
1054039,Gröde,2.78
1054040,Grothusenkoog,7.95
1054041,Haselund,72.56
1054042,Hattstedt,373.32
1054043,Hattstedtermarsch,7.93
1054045,Högel,30.28
1054046,Hörnum (Sylt),146.1
1054048,Holm,24.5
1054050,Hallig Hooge,18.17
1054052,Horstedt,67.69
1054054,Hude,50
1054055,Humptrup,44.61
1054056,"Husum, Stadt",933.72
1054057,Immenstedt,46.75
1054059,Joldelund,44.19
1054061,Kampen (Sylt),58.36
1054062,Karlum,13.62
1054063,Katharinenheerd,20.1
1054065,Klanxbüll,95.39
1054068,Klixbüll,59.63
1054070,Koldenbüttel,35.7
1054071,Kolkerheide,26.19
1054072,Kotzenbüll,21.75
1054073,Ladelund,59.19
1054074,Langeneß,10.2
1054075,Langenhorn,70.95
1054076,Leck,264.62
1054077,Lexgaard,12.6
1054078,List auf Sylt,83.6
1054079,Löwenstedt,35.32
1054080,Lütjenholm,31.65
1054083,Midlum,53.76
1054084,Mildstedt,452.47
1054085,Nebel,76.49
1054086,Neukirchen,36.61
1054087,Nieblum,68.96
1054088,"Niebüll, Stadt",332.13
1054089,Norddorf auf Amrum,89.3
1054090,Norderfriedrichskoog,8.47
1054091,Nordstrand,40.62
1054092,Norstedt,28.15
1054093,Ockholm,17.97
1054094,Oevenum,41.12
1054095,Oldenswort,27.71
1054096,Oldersbek,69.87
1054097,Olderup,46.68
1054098,Oldsum,41.47
1054099,Ostenfeld (Husum),56.99
1054100,Osterhever,11.57
1054101,Oster-Ohrstedt,59.26
1054103,Pellworm,31.64
1054104,Poppenbüll,15.85
1054105,Ramstedt,76.75
1054106,Rantrum,145.22
1054108,Reußenköge,6.53
1054109,Risum-Lindholm,108.63
