ID,Amtlicher Regionalschlüssel,Stadtname,Postleitzahl,Fläche,Bevölkerung,Bevölkerungsdichte
Laufende Nummer,Amtlicher Regionalschlüssel,Stadt,Postleitzahl ,Fläche km² ¹⁾,Bevölkerung auf Grundlage des ZENSUS 2022 ²⁾ insgesamt,Bevölkerung auf Grundlage des ZENSUS 2022 ²⁾             je km²
116,057660020020,"Detmold, Stadt",32756,129.39,74278,574
117,120510000000,"Brandenburg an der Havel, Stadt",14770,229.73,74113,323
118,065340014014,"Marburg, Universitätsstadt",35037,123.91,73544,594
119,055620004004,"Castrop-Rauxel, Stadt",44575,51.68,73282,1418
120,055540008008,"Bocholt, Stadt",46395,119.4,73257,614
121,096610000000,Aschaffenburg,63701,62.45,73091,1170
122,094620000000,Bayreuth,95410,66.89,72940,1090
123,092610000000,Landshut,84026,65.83,71863,1092
124,059620032032,"Lüdenscheid, Stadt",58507,87.02,71212,818
125,059740028028,"Lippstadt, Stadt",59555,113.68,68739,605
126,097630000000,Kempten (Allgäu),87435,63.28,67645,1069
127,081365001088,"Aalen, Stadt",73430,146.58,67621,461
128,057580012012,"Herford, Hansestadt",32052,79.15,67503,853
129,071380045045,"Neuwied, Stadt",56564,86.5,67083,776
130,051700008008,"Dinslaken, Stadt",46535,47.66,66993,1406
131,033510006006,"Celle, Stadt",29221,176.02,66834,380
132,053620032032,"Kerpen, Kolpingstadt",50171,113.96,66585,584
133,051620008008,"Grevenbroich, Stadt",41515,102.52,65983,644
134,160550000000,"Weimar, Stadt",99423,84.47,65954,781
135,064330012012,"Rüsselsheim am Main, Stadt",65428,58.29,65627,1126
136,145230320320,"Plauen, Stadt",08523,102.11,65599,642
137,066310009009,"Fulda, Stadt",36037,104.05,65434,629
138,091630000000,Rosenheim,83013,37.22,65274,1754
139,081365007065,"Schwäbisch Gmünd, Stadt",73525,113.81,64416,566
140,051620004004,"Dormagen, Stadt",41539,85.5,63799,746
141,083175010096,"Offenburg, Stadt",77652,78.37,62993,804
142,084355002016,"Friedrichshafen, Stadt",88045,69.93,62796,898
143,097750135135,"Neu-Ulm, GKSt",89210,80.95,62641,774
144,053620028028,"Hürth, Stadt",50354,51.22,62160,1214
145,053620008008,"Bergheim, Stadt",50126,96.34,61611,640
146,081150045045,"Sindelfingen, Stadt",71063,50.83,61422,1208
147,055620020020,"Herten, Stadt",45699,37.33,60941,1632
148,051700048048,"Wesel, Stadt",46483,122.56,60785,496
149,130710107107,"Neubrandenburg, Vier-Tore-Stadt",17033,86.12,60344,701
150,053660016016,"Euskirchen, Stadt",53879,139.49,60021,430
151,051580020020,"Langenfeld (Rheinland), Stadt",40764,41.15,59975,1457
152,032410005005,"Garbsen, Stadt",30823,79.49,59903,754
153,081175005026,"Göppingen, Stadt",73033,59.21,58937,995
154,059780036036,"Unna, Stadt",59423,88.56,58333,659
155,032520006006,"Hameln, Stadt",31785,102.53,58244,568
156,053340032032,"Stolberg (Rhld.), Kupferstadt",52222,98.48,57684,586
157,053340012012,"Eschweiler, Stadt",52249,75.75,57534,760
158,081190079079,"Waiblingen, Stadt",71332,42.75,57313,1341
159,120530000000,"Frankfurt (Oder), Stadt",15230,147.85,57107,386
160,051620022022,"Meerbusch, Stadt",40670,64.4,57078,886
161,034560015015,"Nordhorn, Stadt",48529,149.86,56973,380
162,082110000000,"Baden-Baden, Stadt",76530,140.19,56881,406
163,064340001001,"Bad Homburg v. d. Höhe, Stadt",61343,51.14,56688,1108
164,053820056056,"Sankt Augustin, Stadt",53757,34.22,56521,1652
165,034540032032,"Lingen (Ems), Stadt",49808,176.19,56498,321
166,053620036036,"Pulheim, Stadt",50259,72.15,56150,778
167,130750039039,"Greifswald, Universitäts- und Hansestadt",17489,50.81,56092,1104
168,146260110110,"Görlitz, Stadt, Hochschulstadt",02826,67.53,55186,817
169,051580016016,"Hilden, Stadt",40721,25.95,55157,2126
170,065320023023,"Wetzlar, Stadt",35578,75.65,54665,723
171,096620000000,Schweinfurt,97420,35.7,54481,1526
172,071330006006,"Bad Kreuznach, Stadt",55545,55.56,54168,975
173,032410010010,"Langenhagen, Stadt",30853,71.97,54142,752
174,130730088088,"Stralsund, Hansestadt",18439,54.59,54094,991
175,057660008008,"Bad Salzuflen, Stadt",32105,100.05,53958,539
176,059540016016,"Hattingen, Stadt",45525,71.67,53044,740
177,092620000000,Passau,94030,69.56,53039,762
178,051540036036,"Kleve, Stadt",47533,97.76,53028,542
179,073160000000,"Neustadt an der Weinstraße, Stadt",67433,117.09,52945,452
180,055700004004,"Ahlen, Stadt",59227,123.13,52666,428
181,031580037037,"Wolfenbüttel, Stadt",38300,78.74,52604,668
182,053620024024,"Frechen, Stadt",50226,45.06,52309,1161
183,059620040040,"Menden (Sauerland), Stadt",58706,86.1,52255,607
184,055660028028,"Ibbenbüren, Stadt",49477,108.87,51803,476
185,081150003003,"Böblingen, Stadt",71032,39.04,51483,1319
186,083365003050,"Lörrach, Stadt",79539,39.37,51349,1304
187,010560015015,"Elmshorn, Stadt",25335,21.36,51342,2404
188,053740012012,"Gummersbach, Stadt",51643,95.41,51290,538
189,031570006006,"Peine, Stadt",31224,119.84,50987,425
190,083175007065,"Lahr/Schwarzwald, Stadt",77933,69.84,50775,727
191,082165005043,"Rastatt, Stadt",76437,58.98,50741,860
192,084365005064,"Ravensburg, Stadt",88212,92.05,50628,550
193,057700004004,"Bad Oeynhausen, Stadt",32545,64.83,50620,781
194,081355002019,"Heidenheim an der Brenz, Stadt",89522,107.09,50618,473
195,055540020020,"Gronau (Westf.), Stadt",48599,78.82,50547,641
196,033520011011,"Cuxhaven, Stadt",27472,161.93,49697,307
197,073180000000,"Speyer, Stadt",67346,42.71,49564,1160
198,081150028028,"Leonberg, Stadt",71229,48.73,49480,1015
199,051660036036,"Willich, Stadt",47877,67.8,49413,729
200,034020000000,"Emden, Stadt",26721,112.34,49202,438
201,059780004004,"Bergkamen, Stadt",59192,44.9,49143,1094
202,120650256256,"Oranienburg, Stadt",16515,163.69,49122,300
203,092630000000,Straubing,94315,67.59,49002,725
204,091780124124,"Freising, GKSt",85350,88.59,48928,552
205,053340004004,"Alsdorf, Stadt",52477,31.68,48810,1541
206,053620020020,"Erftstadt, Stadt",50374,119.89,48772,407
207,033590038038,"Stade, Hansestadt",21682,110.07,48633,442
208,053340016016,"Herzogenrath, Stadt",52134,33.38,48574,1455
209,073130000000,"Landau in der Pfalz, Stadt",76829,82.94,48209,581
210,053820012012,"Bornheim, Stadt",53332,82.69,48203,583
211,053820020020,"Hennef (Sieg), Stadt",53773,105.89,48188,455
212,073110000000,"Frankenthal (Pfalz), Stadt",67227,43.88,48140,1097
213,057540028028,"Rheda-Wiedenbrück, Stadt",33378,86.72,48030,554
214,055580016016,"Dülmen, Stadt",48249,184.83,47989,260
215,082155003009,"Bruchsal, Stadt",76646,93.04,47784,514
216,059740040040,"Soest, Stadt",59494,85.81,47776,557
217,083355005075,"Singen (Hohentwiel), Stadt",78224,61.77,47621,771
218,031530017017,"Goslar, Stadt",38640,163.88,47419,289
219,100430114114,"Neunkirchen, Kreisstadt",66538,75.26,47344,629
220,091740115115,"Dachau, GKSt",85221,34.96,47138,1348
221,081190020020,"Fellbach, Stadt",70734,27.71,47120,1700
222,084175001079,"Albstadt, Stadt",72458,134.4,46950,349
223,094640000000,Hof,95015,58.02,46778,806
224,064340008008,"Oberursel (Taunus), Stadt",61440,45.34,46736,1031
225,034590024024,"Melle, Stadt",49324,253.95,46436,183
226,160670029029,"Gotha, Stadt",99867,69.58,46400,667
227,057580004004,"Bünde, Stadt",32257,59.3,46365,782
228,081160077077,"Filderstadt, Stadt",70794,38.55,46243,1200
229,097620000000,Kaufbeuren,87600,40.02,46193,1154
