OBJECTID,AGS,Gemeinde,Berichtszeitpunkt,Gemeindeschlüssel,Stadttyp,Pkw Elektro Anteil
40617,11000000,Berlin,2023.1,11000000,Landeshauptstadt,4.8
40621,12054000,Potsdam,2023.1,12054000,Landeshauptstadt,4.2
41431,13003000,Rostock,2023.1,13003000,Großstadt,3.0
41432,13004000,Schwerin,2023.1,13004000,Landeshauptstadt,2.9
41755,14511000,Chemnitz,2023.1,14511000,Großstadt,3.3
41912,14713000,Leipzig,2023.1,14713000,Großstadt,3.8
41974,15002000,Halle (Saale),2023.1,15002000,Großstadt,2.7
41975,15003000,Magdeburg,2023.1,15003000,Landeshauptstadt,3.1
42137,14612000,Dresden,2023.1,14612000,Landeshauptstadt,3.5
42954,16051000,Erfurt,2023.1,16051000,Landeshauptstadt,3.7
42956,16053000,Jena,2023.1,16053000,Großstadt,3.6
42991,1002000,Kiel,2024.01,1002000,Landeshauptstadt,4.5
42992,1003000,Lübeck,2024.01,1003000,Großstadt,4.2
43894,2000000,Hamburg,2024.01,2000000,Landeshauptstadt,6.8
43895,3101000,Braunschweig,2024.01,3101000,Großstadt,7.8
43896,3102000,Salzgitter,2024.01,3102000,Großstadt,2.7
43897,3103000,Wolfsburg,2024.01,3103000,Großstadt,12.1
44591,3403000,Oldenburg (Oldb),2024.01,3403000,Großstadt,6.2
44592,3404000,Osnabrück,2024.01,3404000,Großstadt,5.9
44636,4011000,Bremen,2024.01,4011000,Landeshauptstadt,4.5
44637,4012000,Bremerhaven,2024.01,4012000,Großstadt,3.5
44638,5111000,Düsseldorf,2024.01,5111000,Landeshauptstadt,8.0
44639,5112000,Duisburg,2024.01,5112000,Großstadt,3.2
44640,5113000,Essen,2024.01,5113000,Großstadt,5.3
44641,5114000,Krefeld,2024.01,5114000,Großstadt,4.2
44642,5116000,Mönchengladbach,2024.01,5116000,Großstadt,4.4
44643,5117000,Mülheim an der Ruhr,2024.01,5117000,Großstadt,4.7
44644,5119000,Oberhausen,2024.01,5119000,Großstadt,3.7
44645,5120000,Remscheid,2024.01,5120000,Großstadt,4.7
44646,5122000,Solingen,2024.01,5122000,Großstadt,5.1
44647,5124000,Wuppertal,2024.01,5124000,Großstadt,4.6
44680,5162024,Neuss,2024.01,5162024,Großstadt,5.3
44696,5170024,Moers,2024.01,5170024,Großstadt,4.2
44704,5314000,Bonn,2024.01,5314000,Großstadt,6.0
44705,5315000,Köln,2024.01,5315000,Großstadt,6.4
